name,min,max,color
Autres,4.51149922,4.67637638,orange
Bac FR,4.492887804,4.629794196,orange
Certificat d'acces etranger,4.536524272,4.696869128,orange
Maturite de la Commission suisse,4.45191472,4.60596288,orange
Biologie et chimie,4.417028684,4.593084116,orange
Economie et droit,4.58031,4.58031,orange
Langue moderne,4.518425272,4.716206128,orange
Philosophie,4.385256744,4.633916456,orange
Physique et application des maths,4.676104768,4.835743632,orange
Maturite professionnelle,4.343847228,4.674942972,orange
Ancienne matu,4.579661724,4.724792276,orange
