"","est1",""
"","b","se"
"F","0","."
"M","-.0016553",".0193821"
"0",".0136278",".0420605"
"Baccalaureat general français des series L, ES, S","-.018969",".0349251"
"Certificat d'acces etranger",".0363867",".0409043"
"Diplôme de fin d’etudes secondaires, section B, C,","-.011635",".0664482"
"Maturite de la Commission suisse de maturite (CSM)","-.0513712",".039298"
"Maturite gymnasiale, option : Biologie et chimie","-.0752536",".0449121"
"Maturite gymnasiale, option : Economie et droit","0","."
"Maturite gymnasiale, option : Langue moderne",".0370057",".0504543"
"Maturite gymnasiale, option : Philosophie / pedago","-.0707234",".0634336"
"Maturite gymnasiale, option : Physique et applicat",".1756142",".0407242"
"Maturite professionnelle avec examen complementair","-.0709149",".0844632"
"Nouvelle maturite cant.gymnasiale rec. par Confed.",".071917",".0370231"
"Debut=2006","-.1679323",".0401285"
"Debut=2007","-.0284149",".0402639"
"Debut=2008","-.0021681",".03157"
"Debut=2009","-.0205188",".0295476"
"Debut=2010","0","."
"Debut=2011",".0610837",".0297298"
"Constant","4.572825",".0265992"
"Observations","1451",""
