"","est1","","est2",""
"","b","t","b","t"
"delta6","-.0374042","-.7956922",".0231009",".451541"
"delta25","-.176328","-2.979222","-.239767","-3.511992"
"delta26",".1219807","2.15887",".0226175",".4066777"
"delta52","-.0987036","-1.765547","-.1196651","-2.042655"
"delta57","-.142911","-2.273241","-.1383273","-2.163455"
"delta103","-.2087591","-4.532322","-.0068345","-.1422314"
"delta104",".0333207",".6553539",".017861",".3643758"
"delta122","-.0506138","-.803702","-.0888046","-1.292651"
"delta123",".0704461","1.054563","-.0649669","-.9604953"
"delta133","-.2524922","-4.077909","-.1380774","-2.221076"
"delta171","-.1304654","-2.274778","-.0728999","-1.187089"
"delta172",".0887771","1.476281","-.0486861","-.8631541"
"1.sexe","0",".","0","."
"2.sexe",".0073398",".3597771","-.0672647","-3.263433"
"_cons",".609578","36.02284",".7182412","47.22388"
"N","551","","218",""
