"","est1","","est2",""
"","b","t","b","t"
"delta6","-.0608748","-2.712656","-.0047894","-.1750376"
"delta51",".0481727","1.560078",".0367198",".9823659"
"delta95",".0340596","1.38088",".0549787","1.785456"
"delta121",".1040031","2.673234",".0102586",".216348"
"delta139",".0581864","1.566603",".0530371","1.160697"
"delta148",".1272868","4.101185",".0360185",".9091783"
"delta170",".0559706","1.942345",".0172404",".4756773"
"1.sexe","0",".","0","."
"2.sexe",".0052873",".4800698","-.0258172","-2.000777"
"_cons",".6044822","66.22777",".6588689","64.09375"
"N","951","","670",""
